{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
[data I : 55409 answer: 16.0,forecast :15.764863047754137 (rmse:0.24, mape: 0.02, smape: 0.02) ] 
[data I : 55410 answer: 8.0,forecast :9.153732905923553 (rmse:1.15, mape: 0.15, smape: 0.14) ] 
[data I : 55411 answer: 20.0,forecast :16.874307545539267 (rmse:3.13, mape: 0.16, smape: 0.18) ] 
[data I : 55412 answer: 16.0,forecast :14.190044689286648 (rmse:1.81, mape: 0.12, smape: 0.13) ] 
[data I : 55413 answer: 12.0,forecast :12.466635071405875 (rmse:0.47, mape: 0.05, smape: 0.05) ] 
[data I : 55414 answer: 12.0,forecast :11.455280238030998 (rmse:0.54, mape: 0.05, smape: 0.05) ] 
[data I : 55415 answer: 16.0,forecast :16.028427234778178 (rmse:0.03, mape: 0, smape: 0) ] 
[data I : 55416 answer: 12.0,forecast :9.341173495362968 (rmse:2.66, mape: 0.22, smape: 0.25) ] 
[data I : 55417 answer: 16.0,forecast :16.69446903141488 (rmse:0.69, mape: 0.06, smape: 0.06) ] 
[data I : 55418 answer: 12.0,forecast :14.650171367312307 (rmse:2.65, mape: 0.23, smape: 0.2) ] 
[data I : 55419 answer: 12.0,forecast :12.899030753776406 (rmse:0.9, mape: 0.09, smape: 0.09) ] 
[data I : 55420 answer: 12.0,forecast :12.193980656382948 (rmse:0.19, mape: 0.02, smape: 0.02) ] 
[data I : 55421 answer: 16.0,forecast :15.375189772942178 (rmse:0.62, mape: 0.04, smape: 0.04) ] 
[data I : 55422 answer: 8.0,forecast :12.070691966476215 (rmse:4.07, mape: 0.51, smape: 0.41) ] 
[data I : 55423 answer: 16.0,forecast :15.234359407241325 (rmse:0.77, mape: 0.08, smape: 0.08) ] 
[data I : 55424 answer: 12.0,forecast :12.42811969384185 (rmse:0.43, mape: 0.04, smape: 0.04) ] 
[data I : 55425 answer: 12.0,forecast :13.078978615672705 (rmse:1.08, mape: 0.09, smape: 0.09) ] 
[data I : 55426 answer: 12.0,forecast :11.984721243102621 (rmse:0.02, mape: 0.01, smape: 0.01) ] 
[data I : 55427 answer: 12.0,forecast :15.760488642138707 (rmse:3.76, mape: 0.31, smape: 0.27) ] 
[data I : 55428 answer: 12.0,forecast :10.148166157373755 (rmse:1.85, mape: 0.18, smape: 0.2) ] 
[data I : 55429 answer: 16.0,forecast :14.956290968433725 (rmse:1.04, mape: 0.08, smape: 0.08) ] 
[data I : 55430 answer: 12.0,forecast :12.315994920384755 (rmse:0.32, mape: 0.03, smape: 0.03) ] 
[data I : 55431 answer: 12.0,forecast :12.589212046566168 (rmse:0.59, mape: 0.05, smape: 0.05) ] 
[data I : 55432 answer: 8.0,forecast :12.60401634289875 (rmse:4.6, mape: 0.58, smape: 0.45) ] 
[data I : 55433 answer: 25.0,forecast :13.579533539306464 (rmse:11.42, mape: 0.48, smape: 0.62) ] 
[data I : 55434 answer: 12.0,forecast :11.249121539345216 (rmse:0.75, mape: 0.1, smape: 0.11) ] 
[data I : 55435 answer: 16.0,forecast :14.33647819994644 (rmse:1.66, mape: 0.11, smape: 0.12) ] 
[data I : 55436 answer: 12.0,forecast :10.936521847956751 (rmse:1.06, mape: 0.1, smape: 0.1) ] 
[data I : 55437 answer: 12.0,forecast :14.330193583879211 (rmse:2.33, mape: 0.2, smape: 0.18) ] 
[data I : 55438 answer: 12.0,forecast :9.679987978595937 (rmse:2.32, mape: 0.21, smape: 0.23) ] 
[data I : 55439 answer: 12.0,forecast :20.51892157047763 (rmse:8.52, mape: 0.73, smape: 0.54) ] 
[data I : 55440 answer: 16.0,forecast :12.681942320614631 (rmse:3.32, mape: 0.25, smape: 0.28) ] 
[data I : 55441 answer: 20.0,forecast :14.050867719911176 (rmse:5.95, mape: 0.31, smape: 0.36) ] 
[data I : 55442 answer: 12.0,forecast :11.231500415810817 (rmse:0.77, mape: 0.09, smape: 0.09) ] 
[data I : 55443 answer: 12.0,forecast :12.319383230369773 (rmse:0.32, mape: 0.03, smape: 0.03) ] 
[data I : 55444 answer: 12.0,forecast :12.641457621323005 (rmse:0.64, mape: 0.06, smape: 0.05) ] 
[data I : 55445 answer: 16.0,forecast :13.34004805703479 (rmse:2.66, mape: 0.17, smape: 0.19) ] 
[data I : 55446 answer: 12.0,forecast :13.836680149081523 (rmse:1.84, mape: 0.17, smape: 0.16) ] 
[data I : 55447 answer: 16.0,forecast :16.638855122196468 (rmse:0.64, mape: 0.05, smape: 0.05) ] 
[data I : 55448 answer: 12.0,forecast :12.028913143877958 (rmse:0.03, mape: 0.01, smape: 0.01) ] 
[data I : 55449 answer: 12.0,forecast :13.160826230441511 (rmse:1.16, mape: 0.1, smape: 0.09) ] 
[data I : 55450 answer: 12.0,forecast :12.617874710126163 (rmse:0.62, mape: 0.06, smape: 0.06) ] 
[data I : 55451 answer: 16.0,forecast :15.315946192448243 (rmse:0.68, mape: 0.05, smape: 0.05) ] 
[data I : 55452 answer: 12.0,forecast :12.282698985086348 (rmse:0.28, mape: 0.03, smape: 0.03) ] 
[data I : 55453 answer: 16.0,forecast :14.806953028300262 (rmse:1.19, mape: 0.08, smape: 0.08) ] 
[data I : 55454 answer: 12.0,forecast :12.097731946340636 (rmse:0.1, mape: 0.01, smape: 0.01) ] 
[data I : 55455 answer: 12.0,forecast :13.21761130762315 (rmse:1.22, mape: 0.1, smape: 0.1) ] 
[data I : 55456 answer: 12.0,forecast :12.737344723919536 (rmse:0.74, mape: 0.07, smape: 0.07) ] 
[data I : 55457 answer: 12.0,forecast :15.455437759894341 (rmse:3.46, mape: 0.29, smape: 0.26) ] 
[data I : 55458 answer: 12.0,forecast :13.335978137272672 (rmse:1.34, mape: 0.14, smape: 0.13) ] 
[data I : 55459 answer: 16.0,forecast :15.316716435130155 (rmse:0.68, mape: 0.05, smape: 0.05) ] 
[data I : 55460 answer: 12.0,forecast :12.695106912949868 (rmse:0.7, mape: 0.06, smape: 0.06) ] 
[data I : 55461 answer: 12.0,forecast :13.198982937277117 (rmse:1.2, mape: 0.11, smape: 0.1) ] 
[data I : 55462 answer: 12.0,forecast :13.216235032639 (rmse:1.22, mape: 0.11, smape: 0.1) ] 
[data I : 55463 answer: 16.0,forecast :13.79836998187677 (rmse:2.2, mape: 0.14, smape: 0.16) ] 
[data I : 55464 answer: 12.0,forecast :12.450962581285333 (rmse:0.45, mape: 0.05, smape: 0.05) ] 
[data I : 55465 answer: 25.0,forecast :14.876970365366311 (rmse:10.12, mape: 0.41, smape: 0.51) ] 
[data I : 55466 answer: 16.0,forecast :10.055078605837524 (rmse:5.94, mape: 0.4, smape: 0.49) ] 
[data I : 55467 answer: 12.0,forecast :11.427185095524601 (rmse:0.57, mape: 0.08, smape: 0.08) ] 
[data I : 55468 answer: 8.0,forecast :11.303812398082982 (rmse:3.3, mape: 0.42, smape: 0.35) ] 
[data I : 55469 answer: 12.0,forecast :15.580976962130059 (rmse:3.58, mape: 0.33, smape: 0.29) ] 
[data I : 55470 answer: 12.0,forecast :12.757789935247622 (rmse:0.76, mape: 0.09, smape: 0.09) ] 
[data I : 55471 answer: 20.0,forecast :19.649018693211094 (rmse:0.35, mape: 0.02, smape: 0.02) ] 
[data I : 55472 answer: 12.0,forecast :14.445807299945216 (rmse:2.45, mape: 0.21, smape: 0.19) ] 
[data I : 55473 answer: 12.0,forecast :13.828863959809558 (rmse:1.83, mape: 0.17, smape: 0.16) ] 
[data I : 55474 answer: 12.0,forecast :11.008805441602028 (rmse:0.99, mape: 0.1, smape: 0.1) ] 
[data I : 55475 answer: 16.0,forecast :13.599299821045673 (rmse:2.4, mape: 0.16, smape: 0.17) ] 
[data I : 55476 answer: 12.0,forecast :12.227881381133031 (rmse:0.23, mape: 0.03, smape: 0.03) ] 
[data I : 55477 answer: 16.0,forecast :16.690364082863617 (rmse:0.69, mape: 0.05, smape: 0.04) ] 
[data I : 55478 answer: 16.0,forecast :12.491902779773945 (rmse:3.51, mape: 0.22, smape: 0.25) ] 
[data I : 55479 answer: 16.0,forecast :12.69565909795281 (rmse:3.3, mape: 0.22, smape: 0.25) ] 
[data I : 55480 answer: 12.0,forecast :11.64357140493247 (rmse:0.36, mape: 0.05, smape: 0.05) ] 
[data I : 55481 answer: 16.0,forecast :14.355185593304396 (rmse:1.64, mape: 0.11, smape: 0.11) ] 
[data I : 55482 answer: 12.0,forecast :12.066786187126802 (rmse:0.07, mape: 0.01, smape: 0.01) ] 
[data I : 55483 answer: 16.0,forecast :14.312556031625995 (rmse:1.69, mape: 0.11, smape: 0.11) ] 
[data I : 55484 answer: 16.0,forecast :13.589328928017567 (rmse:2.41, mape: 0.16, smape: 0.17) ] 
[data I : 55485 answer: 12.0,forecast :14.20554306353256 (rmse:2.21, mape: 0.2, smape: 0.18) ] 
[data I : 55486 answer: 12.0,forecast :12.667772044871164 (rmse:0.67, mape: 0.07, smape: 0.07) ] 
[data I : 55487 answer: 16.0,forecast :14.669442606999317 (rmse:1.33, mape: 0.09, smape: 0.09) ] 
[data I : 55488 answer: 12.0,forecast :12.375907079732446 (rmse:0.38, mape: 0.04, smape: 0.04) ] 
[data I : 55489 answer: 20.0,forecast :14.557291829829165 (rmse:5.44, mape: 0.27, smape: 0.32) ] 
[data I : 55490 answer: 12.0,forecast :13.384194629323108 (rmse:1.38, mape: 0.14, smape: 0.13) ] 
[data I : 55491 answer: 12.0,forecast :13.257723260208262 (rmse:1.26, mape: 0.12, smape: 0.11) ] 
[data I : 55492 answer: 12.0,forecast :12.181290604337033 (rmse:0.18, mape: 0.02, smape: 0.02) ] 
[data I : 55493 answer: 16.0,forecast :14.992688036844878 (rmse:1.01, mape: 0.06, smape: 0.07) ] 
[data I : 55494 answer: 12.0,forecast :12.301871862251742 (rmse:0.3, mape: 0.03, smape: 0.03) ] 
[data I : 55495 answer: 25.0,forecast :16.686380568930403 (rmse:8.31, mape: 0.33, smape: 0.4) ] 
[data I : 55496 answer: 16.0,forecast :10.659899621942168 (rmse:5.34, mape: 0.35, smape: 0.43) ] 
[data I : 55497 answer: 12.0,forecast :11.55008533576591 (rmse:0.45, mape: 0.07, smape: 0.07) ] 
[data I : 55498 answer: 12.0,forecast :10.529379953215534 (rmse:1.47, mape: 0.13, smape: 0.14) ] 
[data I : 55499 answer: 16.0,forecast :13.893462256481634 (rmse:2.11, mape: 0.14, smape: 0.15) ] 
[data I : 55500 answer: 16.0,forecast :11.559537464625826 (rmse:4.44, mape: 0.29, smape: 0.33) ] 
